Accidents_Count: {Temperature: float,Accidents_Count: long}
(100.0,1186)
(100.2,3)
(100.4,109)
(100.6,1)
(100.8,2)
(100.9,118)
(101.0,587)
(101.1,1)
(101.3,1)
(101.5,2)
(101.7,1)
(101.8,2)
(102.0,897)
(102.2,76)
(102.4,1)
(102.6,1)
(102.7,1)
(102.9,110)
(103.0,446)
(103.5,5)
(104.0,595)
(104.4,1)
(104.7,1)
(104.9,1)
(105.0,246)
(105.1,68)
(105.4,2)
(105.8,34)
(106.0,365)
(106.3,1)
(106.5,1)
(106.9,3)
(107.0,182)
(107.1,40)
(107.2,1)
(107.6,22)
(108.0,202)
(109.0,163)
(109.4,17)
(109.6,1)
(109.8,1)
(109.9,26)
(110.0,90)
(111.0,115)
(111.2,10)
(111.9,12)
(112.0,55)
(113.0,40)
(114.0,28)
(114.1,8)
(114.8,4)
(115.0,19)
(116.0,4)
(116.1,1)
(116.6,2)
(117.0,12)
(118.0,3)
(118.4,3)
(119.0,4)
