Accidents_Count: {Year: int,Month: int,State: chararray,Accidents_Count: long}
(2020,8,PA,1)
(2020,10,CA,1)
(2020,10,FL,1)
(2020,11,FL,1)
(2021,2,CA,367)
(2021,2,FL,198)
(2021,2,NY,15)
(2021,2,PA,88)
(2021,2,TX,85)
(2021,3,CA,11392)
(2021,3,FL,7641)
(2021,3,NY,1433)
(2021,3,PA,2031)
(2021,3,TX,2242)
(2021,4,CA,12140)
(2021,4,FL,7680)
(2021,4,NY,1925)
(2021,4,PA,2093)
(2021,4,TX,2627)
(2021,5,CA,12343)
(2021,5,FL,8183)
(2021,5,NY,2430)
(2021,5,PA,2471)
(2021,5,TX,3239)
(2021,6,CA,18773)
(2021,6,FL,12772)
(2021,6,NY,3167)
(2021,6,PA,3480)
(2021,6,TX,4848)
(2021,7,CA,17841)
(2021,7,FL,11520)
(2021,7,NY,2886)
(2021,7,PA,2982)
(2021,7,TX,4519)
(2021,8,CA,18872)
(2021,8,FL,12673)
(2021,8,NY,2927)
(2021,8,PA,3491)
(2021,8,TX,5247)
(2021,9,CA,21230)
(2021,9,FL,16220)
(2021,9,NY,2931)
(2021,9,PA,3818)
(2021,9,TX,4957)
(2021,10,CA,23397)
(2021,10,FL,18424)
(2021,10,NY,3238)
(2021,10,PA,3837)
(2021,10,TX,4679)
(2021,11,CA,27481)
(2021,11,FL,24470)
(2021,11,NY,4482)
(2021,11,PA,5178)
(2021,11,TX,5849)
(2021,12,CA,44850)
(2021,12,FL,32838)
(2021,12,NY,5468)
(2021,12,PA,5869)
(2021,12,TX,6333)
 Logs
